Time (ms) - In-Phase Raw Data	Amplitude (uV) - In-Phase Raw Data	Time (ms) - Quad-Phase Raw Data	Amplitude (uV) - Quad-Phase Raw Data	Time (ms) - Envelope	Amplitude (uV) - Envelope
0	41182.946				
0	38862.557				
0.001	40393.698				
0.001	36905.223				
0.002	39667.59				
0.002	34553.265				
0.002	40109.569				
0.003	30401.822				
0.003	44876.625				
0.004	-44766.13				
0.004	-111473.347				
0.004	-94299.316				
0.005	-101876.094				
0.005	-93399.574				
0.006	-95988.307				
0.006	-91252.82				
0.006	-92357.767				
0.007	-88001.12				
0.007	-88095.829				
0.008	-85617.592				
0.008	-84938.839				
0.008	-82271.181				
0.009	-81513.504				
0.009	-79792.943				
0.01	-78467.007				
0.01	-76620.168				
0.01	-75531.006				
0.011	-74252.425				
0.011	-72673.929				
0.012	-71174.358				
0.012	-70195.691				
0.012	-68917.11				
0.013	-67338.615				
0.013	-66123.173				
0.014	-65160.291				
0.014	-63897.495				
0.014	-62476.849				
0.015	-61387.687				
0.015	-60409.02				
0.016	-59256.718				
0.016	-57914.997				
0.016	-57062.609				
0.017	-56178.652				
0.017	-54915.856				
0.018	-53763.554				
0.018	-52942.736				
0.018	-52058.779				
0.019	-50874.907				
0.019	-49880.455				
0.02	-49091.208				
0.02	-48159.895				
0.02	-47165.443				
0.021	-46297.271				
0.021	-45555.378				
0.022	-44734.56				
0.022	-43724.323				
0.022	-42998.215				
0.023	-42224.752				
0.023	-41372.365				
0.024	-40504.192				
0.024	-40030.644				
0.024	-38957.267				
0.025	-38515.288				
0.025	-37299.847				
0.026	-37268.277				
0.026	-35926.556				
0.026	-35958.126				
0.027	-34174.426				
0.027	-35168.878				
0.028	-32153.952				
0.028	-36021.265				
0.028	-17000.396				
0.029	97330.028				
0.029	103864.999				
0.03	101781.385				
0.03	99808.265				
0.03	97708.867				
0.031	96067.231				
0.031	94772.865				
0.032	92799.746				
0.032	90810.842				
0.032	89500.69				
0.033	88143.184				
0.033	86091.14				
0.034	84512.645				
0.034	83344.558				
0.034	81829.203				
0.035	80061.288				
0.035	78640.642				
0.036	77598.835				
0.036	76099.264				
0.036	74410.274				
0.037	73242.187				
0.037	72216.165				
0.038	70732.38				
0.038	69232.809				
0.038	68222.572				
0.039	67164.98				
0.039	65712.764				
0.04	64481.538				
0.04	63439.731				
0.04	62397.924				
0.041	61150.913				
0.041	59967.041				
0.042	59130.438				
0.042	58135.986				
0.042	56810.05				
0.043	55878.738				
0.043	55105.275				
0.044	54079.253				
0.044	52895.382				
0.044	52042.994				
0.045	51237.961				
0.045	50211.939				
0.046	49185.917				
0.046	48459.809				
0.046	47607.422				
0.047	46739.249				
0.047	45729.012				
0.048	45318.604				
0.048	44261.012				
0.048	43740.108				
0.049	42414.172				
0.049	42572.021				
0.05	40725.182				
0.05	41230.3				
0.05	38846.772				
0.051	40346.343				
0.051	36968.363				
0.052	39572.88				
0.052	34505.91				
0.052	40030.644				
0.053	30543.886				
0.053	44482.001				
0.054	-47544.282				
0.054	-111236.572				
0.054	-94299.316				
0.055	-101765.6				
0.055	-93289.079				
0.056	-96035.661				
0.056	-91268.605				
0.056	-92231.487				
0.057	-88032.69				
0.057	-88111.614				
0.058	-85680.731				
0.058	-84907.269				
0.058	-82144.902				
0.059	-81576.643				
0.059	-79856.083				
0.06	-78435.437				
0.06	-76525.458				
0.06	-75562.576				
0.061	-74173.5				
0.061	-72626.574				
0.062	-71127.004				
0.062	-70100.982				
0.062	-68885.54				
0.063	-67370.185				
0.063	-66075.818				
0.064	-65144.506				
0.064	-63865.925				
0.064	-62508.419				
0.065	-61387.687				
0.065	-60472.16				
0.066	-59162.008				
0.066	-57962.352				
0.066	-57046.824				
0.067	-56068.157				
0.067	-54915.856				
0.068	-53668.844				
0.068	-53037.446				
0.068	-52027.209				
0.069	-50843.337				
0.069	-49896.24				
0.07	-49106.993				
0.07	-48207.25				
0.07	-47165.443				
0.071	-46328.841				
0.071	-45539.593				
0.072	-44687.205				
0.072	-43613.828				
0.072	-42998.215				
0.073	-42193.183				
0.073	-41482.86				
0.074	-40393.698				
0.074	-39935.934				
0.074	-39020.407				
0.075	-38594.213				
0.075	-37347.202				
0.076	-37268.277				
0.076	-35784.491				
0.076	-36226.47				
0.077	-33890.297				
0.077	-35500.362				
0.078	-31664.618				
0.078	-36684.234				
0.078	-14238.029				
0.079	99429.427				
0.079	103123.106				
0.08	102223.363				
0.08	99397.857				
0.08	97803.576				
0.081	95846.242				
0.081	94930.715				
0.082	92531.402				
0.082	90810.842				
0.082	89405.981				
0.083	88158.969				
0.083	86043.785				
0.084	84433.72				
0.084	83265.633				
0.084	81860.772				
0.085	79950.793				
0.085	78672.212				
0.086	77488.34				
0.086	76051.909				
0.086	74394.489				
0.087	73163.263				
0.087	72137.241				
0.088	70621.885				
0.088	69217.024				
0.088	68159.432				
0.089	67133.41				
0.089	65681.194				
0.09	64481.538				
0.09	63534.441				
0.09	62429.494				
0.091	61087.773				
0.091	59967.041				
0.092	59162.008				
0.092	58041.277				
0.092	56794.265				
0.093	55752.458				
0.093	55042.135				
0.094	53937.189				
0.094	52816.457				
0.094	52090.349				
0.095	51190.606				
0.095	50227.724				
0.096	49233.272				
0.096	48475.594				
0.096	47607.422				
0.097	46833.959				
0.097	45713.227				
0.098	45271.249				
0.098	44166.302				
0.098	43708.538				
0.099	42366.817				
0.099	42445.742				
0.1	40709.397				
0.1	41072.451				
