Time (ms) - In-Phase Raw Data	Amplitude (uV) - In-Phase Raw Data	Time (ms) - Quad-Phase Raw Data	Amplitude (uV) - Quad-Phase Raw Data	Time (ms) - Envelope	Amplitude (uV) - Envelope
0	47007.594				
0	49154.347				
0.001	44434.646				
0.001	47054.948				
0.002	-60251.17				
0.002	-95783.102				
0.002	-85428.172				
0.003	-89390.196				
0.003	-83723.397				
0.004	-85033.548				
0.004	-82097.547				
0.004	-82129.117				
0.005	-79066.836				
0.005	-78814.276				
0.006	-77204.211				
0.006	-76209.759				
0.006	-74110.36				
0.007	-73542.102				
0.007	-72295.09				
0.008	-71000.724				
0.008	-69469.583				
0.008	-68680.336				
0.009	-67654.314				
0.009	-66186.313				
0.01	-64986.656				
0.01	-64165.839				
0.01	-63187.172				
0.011	-61719.171				
0.011	-60819.429				
0.012	-60014.396				
0.012	-59004.159				
0.012	-57615.083				
0.013	-56920.545				
0.013	-55989.233				
0.014	-55231.555				
0.014	-53621.489				
0.014	-53621.489				
0.015	-52011.424				
0.015	-51964.069				
0.016	-49627.896				
0.016	-50922.262				
0.016	-47212.798				
0.017	-51743.08				
0.017	-28965.391				
0.018	82208.041				
0.018	87906.41				
0.018	87085.592				
0.019	84812.559				
0.019	83297.203				
0.02	81860.772				
0.02	81166.235				
0.02	79177.33				
0.021	77677.76				
0.021	76588.598				
0.022	75625.716				
0.022	73842.016				
0.022	72421.37				
0.023	71600.552				
0.023	70495.605				
0.024	68853.97				
0.024	67685.884				
0.024	66865.066				
0.025	65696.979				
0.025	64150.054				
0.026	63171.387				
0.026	62366.354				
0.026	61261.407				
0.027	59793.407				
0.027	59067.299				
0.028	58041.277				
0.028	57267.814				
0.028	55547.254				
0.029	55563.039				
0.029	53779.339				
0.03	53842.479				
0.03	51253.746				
0.03	52674.392				
0.031	49185.917				
0.031	51395.811				
0.032	46186.776				
0.032	51569.445				
0.032	41877.483				
0.033	56068.157				
0.033	-13085.727				
0.034	-98608.609				
0.034	-83739.182				
0.034	-91189.68				
0.035	-83297.203				
0.035	-85933.291				
0.036	-81687.138				
0.036	-83091.999				
0.036	-79193.115				
0.037	-79335.18				
0.037	-77330.491				
0.038	-76856.942				
0.038	-74441.844				
0.038	-73794.661				
0.039	-72547.65				
0.039	-71521.627				
0.04	-69659.003				
0.04	-68838.185				
0.04	-67906.873				
0.041	-66612.507				
0.041	-65223.431				
0.042	-64371.043				
0.042	-63423.946				
0.042	-62192.72				
0.043	-60866.783				
0.043	-60377.45				
0.044	-59146.223				
0.044	-58199.126				
0.044	-56762.695				
0.045	-56715.34				
0.045	-54947.426				
0.046	-54742.221				
0.046	-52642.822				
0.046	-53589.92				
0.047	-50511.853				
0.047	-52153.489				
0.048	-47954.691				
0.048	-51964.069				
0.048	-44324.151				
0.049	-53510.995				
0.049	44955.55				
0.05	96335.575				
0.05	82792.085				
0.05	88869.292				
0.051	81829.203				
0.051	83991.741				
0.052	80408.557				
0.052	81055.74				
0.052	77519.91				
0.053	77646.19				
0.053	75688.855				
0.054	74946.963				
0.054	72610.789				
0.054	72153.026				
0.055	70921.799				
0.055	69627.433				
0.056	68017.368				
0.056	67322.83				
0.056	66202.098				
0.057	64749.882				
0.057	63581.796				
0.058	62808.333				
0.058	61766.526				
0.058	60345.88				
0.059	59398.783				
0.059	58593.75				
0.06	57646.653				
0.06	56162.867				
0.06	55563.039				
0.061	54600.157				
0.061	53795.124				
0.062	52311.338				
0.062	52090.349				
0.062	50669.703				
0.063	50448.714				
0.063	48301.96				
0.064	49391.122				
0.064	46044.711				
0.064	49943.595				
0.065	29296.875				
0.065	-82539.526				
0.066	-89642.755				
0.066	-88379.959				
0.066	-86438.409				
0.067	-84717.849				
0.067	-83344.558				
0.068	-82665.805				
0.068	-80597.976				
0.068	-79082.621				
0.069	-77946.104				
0.069	-77046.361				
0.07	-75246.877				
0.07	-73873.586				
0.07	-73084.338				
0.071	-71932.036				
0.071	-70258.831				
0.072	-69074.96				
0.072	-68301.497				
0.072	-67070.27				
0.073	-65554.915				
0.073	-64655.172				
0.074	-63881.71				
0.074	-62697.838				
0.074	-61229.837				
0.075	-60551.084				
0.075	-59509.277				
0.076	-58641.105				
0.076	-57015.255				
0.076	-56936.33				
0.077	-55263.125				
0.077	-55184.2				
0.078	-52800.672				
0.078	-53952.973				
0.078	-50811.768				
0.079	-52627.037				
0.079	-47907.336				
0.08	-52548.113				
0.08	-43992.667				
0.08	-56431.211				
0.081	-1531.141				
0.081	94804.435				
0.082	83502.408				
0.082	89421.766				
0.082	82634.235				
0.083	84449.505				
0.083	80708.471				
0.084	81702.923				
0.084	78182.878				
0.084	77977.674				
0.085	76099.264				
0.085	75609.931				
0.086	73226.403				
0.086	72500.295				
0.086	71363.778				
0.087	70306.186				
0.087	68427.776				
0.088	67654.314				
0.088	66675.647				
0.088	65365.495				
0.089	63913.28				
0.089	63139.817				
0.09	62192.72				
0.09	60977.278				
0.09	59572.417				
0.091	59004.159				
0.091	57946.567				
0.092	56888.975				
0.092	55436.759				
0.092	55405.189				
0.093	53589.92				
0.093	53526.78				
0.094	51316.886				
0.094	52358.693				
0.094	49185.917				
0.095	50874.907				
0.095	46486.69				
0.096	50748.628				
0.096	42824.581				
0.096	52674.392				
0.097	-45018.689				
0.097	-98008.781				
0.098	-83975.956				
0.098	-90400.433				
0.098	-83044.644				
0.099	-85412.387				
0.099	-81639.783				
0.1	-82429.031				
0.1	-78845.846				
0.1	-78893.201				
0.101	-77030.577				
0.101	-76320.254				
0.102	-74047.22				
0.102	-73526.317				
0.102	-72263.52				
0.103	-71000.724				
0.103	-69390.659				
0.104	-68648.766				
0.104	-67606.959				
0.104	-66123.173				
0.105	-64907.732				
0.105	-64181.624				
0.106	-63076.677				
0.106	-61750.741				
0.106	-60740.504				
0.107	-60045.966				
0.107	-58941.019				
0.108	-57757.147				
0.108	-56873.19				
0.108	-56178.652				
0.109	-55010.565				
0.109	-53889.834				
0.11	-53069.016				
0.11	-52516.543				
0.11	-51269.531				
0.111	-50496.068				
0.111	-49738.391				
0.112	-48917.573				
0.112	-48665.014				
0.112	-39667.59				
0.113	71995.176				
0.113	91031.831				
0.114	85664.946				
0.114	86422.624				
0.114	82807.87				
0.115	82650.02				
0.115	80945.245				
0.116	79903.438				
0.116	77630.405				
0.116	77014.792				
0.117	75736.21				
0.117	74283.994				
0.118	72531.865				
0.118	71868.896				
0.118	70669.24				
0.119	69153.884				
0.119	67812.163				
0.12	67070.27				
0.12	65902.184				
0.12	64434.183				
0.121	63360.806				
0.121	62618.913				
0.122	61498.182				
0.122	59982.826				
0.122	59382.998				
0.123	58356.976				
0.123	57409.878				
0.124	55768.243				
0.124	55673.533				
0.124	54047.683				
0.125	53921.404				
0.125	51506.306				
0.126	52642.822				
0.126	49533.186				
0.126	51332.671				
0.127	46676.11				
0.127	51253.746				
0.128	42777.226				
0.128	55089.49				
0.128	1578.495				
0.129	-95956.737				
0.129	-84717.849				
0.13	-90716.132				
0.13	-83960.171				
0.13	-85791.226				
0.131	-81955.482				
0.131	-83028.859				
0.132	-79493.029				
0.132	-79319.395				
0.132	-77377.846				
0.133	-77014.792				
0.133	-74536.554				
0.134	-73794.661				
0.134	-72705.499				
0.134	-71537.412				
0.135	-69832.637				
0.135	-68917.11				
0.136	-68048.938				
0.136	-66754.571				
0.136	-65239.216				
0.137	-64528.893				
0.137	-63581.796				
0.138	-62303.214				
0.138	-60945.708				
0.138	-60440.59				
0.139	-59193.578				
0.139	-58372.761				
0.14	-56762.695				
0.14	-56794.265				
0.14	-54931.641				
0.141	-54915.856				
0.141	-52579.682				
0.142	-53874.049				
0.142	-50385.574				
0.142	-52484.973				
0.143	-47591.637				
0.143	-52674.392				
0.144	-43329.699				
0.144	-56383.856				
0.144	31001.65				
0.145	97677.297				
0.145	82286.966				
0.146	89611.185				
0.146	81687.138				
0.146	84402.15				
0.147	80282.277				
0.147	81434.579				
0.148	77598.835				
0.148	77851.394				
0.148	75736.21				
0.149	75231.092				
0.149	72784.424				
0.15	72326.66				
0.15	71048.079				
0.15	69848.422				
0.151	68127.862				
0.151	67496.464				
0.152	66470.442				
0.152	64986.656				
0.152	63692.29				
0.153	62918.827				
0.153	61940.16				
0.154	60472.16				
0.154	59446.138				
0.154	58798.954				
0.155	57709.793				
0.155	56446.996				
0.156	55499.899				
0.156	54868.501				
0.156	53779.339				
0.157	52642.822				
0.157	51837.79				
0.158	51269.531				
0.158	49990.95				
0.158	49233.272				
0.159	48317.745				
0.159	47686.347				
0.16	47323.293				
0.16	38862.557				
0.16	-73210.618				
0.161	-92405.122				
0.161	-86817.248				
0.162	-87732.775				
0.162	-84118.021				
0.162	-84007.526				
0.163	-82208.041				
0.163	-81276.729				
0.164	-78924.771				
0.164	-78324.943				
0.164	-77030.577				
0.165	-75641.501				
0.165	-73936.725				
0.166	-73163.263				
0.166	-72058.316				
0.166	-70542.96				
0.167	-69122.314				
0.167	-68475.131				
0.168	-67259.69				
0.168	-65712.764				
0.168	-64655.172				
0.169	-63865.925				
0.169	-62792.548				
0.17	-61403.472				
0.17	-60645.794				
0.17	-59682.912				
0.171	-58751.6				
0.171	-57188.889				
0.172	-56936.33				
0.172	-55531.469				
0.172	-55105.275				
0.173	-53100.586				
0.173	-53795.124				
0.174	-51206.391				
0.174	-52248.198				
0.174	-48570.304				
0.175	-51885.144				
0.175	-45144.969				
0.176	-54615.942				
0.176	-14616.868				
0.176	90510.927				
0.177	85175.613				
0.177	88695.658				
0.178	83486.623				
0.178	84133.806				
0.178	81166.235				
0.179	81623.998				
0.179	78514.362				
0.18	77914.534				
0.18	76399.178				
0.18	75751.995				
0.181	73542.102				
0.181	72563.434				
0.182	71474.273				
0.182	70448.251				
0.182	68617.196				
0.183	67685.884				
0.183	66786.141				
0.184	65507.56				
0.184	64039.559				
0.184	63234.527				
0.185	62350.569				
0.185	61087.773				
0.186	59730.267				
0.186	59177.793				
0.186	57978.137				
0.187	57141.534				
0.187	55484.114				
0.188	55594.609				
0.188	53700.414				
0.188	53700.414				
0.189	51253.746				
0.189	52595.467				
0.19	49138.562				
0.19	51237.961				
0.19	46202.561				
0.191	51395.811				
0.191	41972.193				
0.192	55326.264				
0.192	-31191.07				
0.192	-99097.942				
0.193	-83518.193				
0.193	-90984.476				
0.194	-82949.934				
0.194	-85743.871				
0.194	-81529.288				
0.195	-82760.515				
0.195	-78940.556				
0.196	-79161.545				
0.196	-77077.931				
