Time (ms) - In-Phase Raw Data	Amplitude (uV) - In-Phase Raw Data	Time (ms) - Quad-Phase Raw Data	Amplitude (uV) - Quad-Phase Raw Data	Time (ms) - Envelope	Amplitude (uV) - Envelope
0	-68901.325				
0	-66012.678				
0.001	-67575.389				
0.001	-62161.15				
0.002	-66154.743				
0.002	-57867.642				
0.002	-69832.637				
0.003	-19115.58				
0.003	82871.01				
0.004	72374.015				
0.004	77330.491				
0.004	72547.65				
0.005	72547.65				
0.005	70811.305				
0.006	69390.659				
0.006	69801.067				
0.006	64844.592				
0.007	69090.745				
0.007	60093.321				
0.008	73084.338				
0.008	-18405.257				
0.008	-84039.096				
0.009	-67338.615				
0.009	-75310.017				
0.01	-67954.228				
0.01	-70195.691				
0.01	-66612.507				
0.011	-67101.84				
0.011	-65097.151				
0.012	-63124.032				
0.012	-63802.785				
0.012	-60093.321				
0.013	-61356.117				
0.013	48301.96				
0.014	83234.064				
0.014	71805.757				
0.014	77188.426				
0.015	70653.455				
0.015	72958.058				
0.016	68632.981				
0.016	71016.509				
0.016	65712.764				
0.017	68632.981				
0.017	62271.644				
0.018	70274.616				
0.018	38657.353				
0.018	-73052.768				
0.019	-72247.735				
0.019	-72894.919				
0.02	-70984.939				
0.02	-69074.96				
0.02	-68585.626				
0.021	-66138.958				
0.021	-67401.754				
0.022	-62019.085				
0.022	-66423.087				
0.022	-57204.674				
0.023	-70842.874				
0.023	-9218.413				
0.024	85333.462				
0.024	71300.638				
0.024	77930.319				
0.025	71932.036				
0.025	72831.779				
0.026	70321.971				
0.026	69674.788				
0.026	69264.379				
0.027	65160.291				
0.027	68475.131				
0.028	60724.719				
0.028	71000.724				
0.028	-28633.907				
0.029	-83060.429				
0.029	-67638.529				
0.03	-74978.532				
0.03	-67859.518				
0.03	-70022.057				
0.031	-66407.302				
0.031	-67370.185				
0.032	-64528.893				
0.032	-63708.075				
0.032	-62824.118				
0.033	-61703.386				
0.033	-56541.706				
0.034	56446.996				
0.034	81308.299				
0.034	72737.069				
0.035	76525.458				
0.035	70969.154				
0.036	72768.639				
0.036	68632.981				
0.036	71127.004				
0.037	65191.861				
0.037	69027.605				
0.038	61356.117				
0.038	71821.542				
0.038	29991.413				
0.039	-77204.211				
0.039	-70590.315				
0.04	-73715.736				
0.04	-70243.046				
0.04	-69343.304				
0.041	-68175.217				
0.041	-66233.668				
0.042	-67228.12				
0.042	-61829.666				
0.042	-66454.657				
0.043	-56873.19				
0.043	-71221.713				
0.044	773.463				
0.044	86675.184				
0.044	70542.96				
0.045	78324.943				
0.045	71332.208				
