Time (ms) - In-Phase Raw Data	Amplitude (uV) - In-Phase Raw Data	Time (ms) - Quad-Phase Raw Data	Amplitude (uV) - Quad-Phase Raw Data	Time (ms) - Envelope	Amplitude (uV) - Envelope
0	74236.64				
0	61656.031				
0.001	77535.695				
0.001	-10086.586				
0.002	-81908.127				
0.002	-63455.516				
0.002	-73889.371				
0.003	-62682.053				
0.003	-70969.154				
0.004	-58562.18				
0.004	-74678.618				
0.004	-2004.689				
0.005	84638.924				
0.005	66959.776				
0.006	77267.351				
0.006	66075.818				
0.006	74394.489				
0.007	61750.741				
0.007	78040.814				
0.008	8318.671				
0.008	-81055.74				
0.008	-64007.989				
0.009	-73652.596				
0.009	-63313.451				
0.01	-70574.53				
0.01	-59461.922				
0.01	-73368.467				
0.011	-19999.537				
0.011	81418.794				
0.012	68680.336				
0.012	76367.608				
0.012	67275.475				
0.013	73589.456				
0.013	63108.247				
0.014	76336.039				
0.014	26060.959				
0.014	-77362.061				
0.015	-65949.539				
0.015	-72500.295				
0.016	-64844.592				
0.016	-69406.444				
0.016	-61356.117				
0.017	-70542.96				
0.017	-36147.545				
0.018	75041.672				
0.018	71363.778				
0.018	74710.188				
0.019	69153.884				
0.019	72026.746				
0.02	65302.356				
0.02	73163.263				
0.02	42098.473				
0.021	-70353.541				
0.021	-68948.68				
0.022	-70606.1				
0.022	-66817.711				
0.022	-67717.454				
0.023	-63818.57				
0.023	-67038.7				
0.024	-50117.23				
0.024	65049.796				
0.024	75120.597				
0.025	72342.445				
0.025	71411.133				
0.026	70069.412				
0.026	67954.228				
0.026	69390.659				
0.027	55878.738				
0.027	-59888.116				
0.028	-72737.069				
0.028	-68206.787				
0.028	-69153.884				
0.029	-65775.904				
0.029	-66470.442				
0.03	-63487.086				
0.03	-61166.698				
0.03	51932.499				
0.031	79145.76				
0.031	69927.347				
0.032	73763.091				
0.032	68222.572				
0.032	70590.315				
0.033	65917.969				
0.033	66375.732				
0.034	-46344.626				
0.034	-76635.953				
0.034	-66091.603				
0.035	-71300.638				
0.035	-64102.699				
0.036	-68759.261				
0.036	-60661.579				
0.036	-68885.54				
0.037	36336.965				
0.037	82634.235				
0.038	67922.658				
0.038	75736.21				
0.038	66691.432				
0.039	72737.069				
0.039	63266.096				
0.04	73510.532				
0.04	-30070.338				
0.04	-79935.008				
0.041	-64228.979				
0.041	-72910.703				
0.042	-62981.967				
0.042	-70369.326				
0.042	-58925.234				
0.043	-73305.327				
0.043	18547.321				
0.044	84780.989				
0.044	66770.356				
0.044	77014.792				
0.045	65807.474				
0.045	74063.005				
0.046	61829.666				
0.046	77314.706				
0.046	-12280.694				
0.047	-81750.278				
0.047	-63392.376				
0.048	-73826.231				
0.048	-62634.698				
0.048	-71032.294				
0.049	-58467.47				
0.049	-74662.833				
0.05	220.989				
0.05	84812.559				
0.05	66833.496				
0.051	77235.781				
0.051	65996.894				
0.052	74378.704				
0.052	61656.031				
0.052	78182.878				
0.053	6203.487				
0.053	-81339.869				
0.054	-63897.495				
0.054	-73794.661				
0.054	-63218.742				
0.055	-70748.165				
0.055	-59304.073				
0.056	-73668.381				
0.056	-17789.643				
0.056	81971.267				
0.057	68301.497				
0.057	76509.673				
0.058	67101.84				
0.058	73699.951				
0.058	62934.612				
0.059	76604.383				
0.059	24166.765				
0.06	-77930.319				
0.06	-65649.625				
0.06	-72768.639				
0.061	-64513.108				
0.061	-69611.648				
0.062	-61087.773				
0.062	-70984.939				
0.062	-34348.06				
0.063	75972.985				
0.063	71016.509				
0.064	74836.468				
0.064	68853.97				
0.064	72247.735				
0.065	64970.871				
0.065	73668.381				
0.066	40298.988				
0.066	-71411.133				
0.066	-68538.271				
0.067	-70890.229				
0.067	-66549.367				
0.068	-67954.228				
0.068	-63581.796				
0.068	-67464.894				
0.069	-48617.659				
0.069	66438.872				
0.07	74631.263				
0.07	72705.499				
0.07	71111.219				
0.071	70369.326				
0.071	67701.669				
0.072	69832.637				
0.072	54394.952				
0.072	-61356.117				
0.073	-72310.875				
0.073	-68569.841				
0.074	-68869.755				
0.074	-66028.463				
0.074	-66107.388				
0.075	-63944.849				
0.075	-59903.901				
0.076	53747.769				
0.076	78593.287				
0.076	70179.906				
0.077	73557.887				
0.077	68411.992				
0.078	70274.616				
0.078	66359.947				
0.078	65270.786				
0.079	-48159.895				
0.079	-76162.404				
0.08	-66296.808				
0.08	-71127.004				
0.08	-64371.043				
0.081	-68490.916				
0.081	-60993.063				
0.082	-68096.292				
0.082	38183.804				
0.082	82255.396				
0.083	68112.077				
0.083	75562.576				
0.084	66786.141				
0.084	72547.65				
0.084	63471.301				
0.085	72768.639				
0.085	-32232.876				
0.086	-79619.309				
0.086	-64465.753				
0.086	-72815.994				
0.087	-63092.462				
0.087	-70148.336				
0.088	-59035.729				
0.088	-72942.273				
0.088	20867.709				
0.089	84591.57				
0.089	66817.711				
0.09	76920.082				
0.09	65917.969				
0.09	73905.156				
0.091	61924.375				
0.091	76983.222				
0.092	-14522.158				
0.092	-81639.783				
0.092	-63471.301				
0.093	-73778.876				
0.093	-62634.698				
0.094	-70984.939				
0.094	-58435.9				
0.094	-74583.909				
0.095	2273.033				
0.095	84938.839				
0.096	66786.141				
0.096	77267.351				
0.096	65917.969				
0.097	74441.844				
0.097	61577.106				
0.098	78182.878				
0.098	3977.808				
0.098	-81513.504				
0.099	-63755.43				
0.099	-73747.306				
0.1	-63092.462				
0.1	-70763.95				
0.1	-59098.869				
0.101	-73857.801				
0.101	-15721.814				
0.102	82429.031				
0.102	68064.723				
0.102	76604.383				
0.103	66880.851				
0.103	73810.446				
0.104	62666.268				
0.104	76935.867				
0.104	22004.226				
0.105	-78467.007				
0.105	-65349.71				
0.106	-72879.134				
0.106	-64292.118				
0.106	-69816.852				
0.107	-60866.783				
0.107	-71363.778				
0.108	-32532.791				
0.108	76762.232				
0.108	70669.24				
0.109	75025.887				
0.109	68617.196				
0.11	72452.94				
0.11	64749.882				
