Time (ms) - In-Phase Raw Data	Amplitude (uV) - In-Phase Raw Data	Time (ms) - Quad-Phase Raw Data	Amplitude (uV) - Quad-Phase Raw Data	Time (ms) - Envelope	Amplitude (uV) - Envelope
0	71900.466				
0	-31996.102				
0.001	-75373.156				
0.001	-68506.701				
0.002	-64986.656				
0.002	-75546.791				
0.002	10244.435				
0.003	77409.415				
0.003	67038.7				
0.004	65807.474				
0.004	75199.522				
0.004	0				
0.005	-78672.212				
0.005	-66202.098				
0.006	-67512.249				
0.006	-73778.876				
0.006	-22020.011				
0.007	76130.834				
0.007	66328.378				
0.008	68001.583				
0.008	72326.66				
0.008	31490.984				
0.009	-74931.178				
0.009	-66012.678				
0.01	-70116.767				
0.01	-68948.68				
0.01	-49722.606				
0.011	65428.635				
0.011	68301.497				
0.012	69438.014				
0.012	67875.303				
0.012	56320.717				
0.013	-60566.869				
0.013	-69232.809				
0.014	-70621.885				
0.014	-65270.786				
0.014	-67922.658				
0.015	44071.592				
0.015	72784.424				
0.016	68996.035				
0.016	65333.925				
0.016	70858.659				
0.017	-35705.566				
0.017	-74694.403				
0.018	-68822.4				
0.018	-64749.882				
0.018	-75262.662				
0.019	14459.018				
0.019	77125.286				
0.02	67228.12				
0.02	65633.84				
0.02	75215.307				
0.021	-4151.443				
0.021	-78561.717				
0.022	-66470.442				
0.022	-67133.41				
0.022	-74283.994				
0.023	-18042.203				
0.023	76762.232				
0.024	66296.808				
0.024	67749.023				
0.024	72879.134				
0.025	27781.519				
0.025	-75894.06				
0.026	-65839.044				
0.026	-69879.992				
0.026	-69532.723				
0.027	-46723.464				
0.027	67464.894				
0.028	67891.088				
0.028	69374.874				
0.028	68364.637				
0.029	53747.769				
0.029	-62934.612				
0.03	-68648.766				
0.03	-70685.025				
0.03	-65523.345				
0.031	-66233.668				
0.031	47275.938				
0.032	72184.596				
0.032	69106.529				
0.032	65397.065				
0.033	69706.358				
0.033	-39241.396				
0.034	-74015.65				
0.034	-69185.454				
0.034	-64670.957				
0.035	-74868.038				
0.035	18342.117				
0.036	76809.587				
0.036	67528.034				
0.036	65523.345				
0.037	75167.952				
0.037	-8208.176				
0.038	-78340.728				
0.038	-66644.077				
0.038	-66770.356				
0.039	-74773.328				
0.039	-14143.319				
0.04	77219.996				
0.04	66328.378				
0.04	67496.464				
0.041	73400.037				
0.041	23945.776				
0.042	-76762.232				
0.042	-65681.194				
0.042	-69580.078				
0.043	-70116.767				
0.043	-43598.044				
0.044	69138.099				
0.044	67512.249				
0.044	69232.809				
0.045	68869.755				
0.045	51064.327				
0.046	-65176.076				
0.046	-68127.862				
0.046	-70700.81				
0.047	-65807.474				
0.047	-64481.538				
0.048	50290.864				
0.048	71584.767				
0.048	69264.379				
0.049	65696.979				
0.049	68285.712				
0.05	-42650.946				
0.05	-73336.897				
0.05	-69422.229				
0.051	-64639.387				
0.051	-74378.704				
0.052	22241				
0.052	76304.469				
0.052	67749.023				
0.053	65349.71				
0.053	75010.102				
0.054	-12328.049				
0.054	-78040.814				
0.054	-66959.776				
0.055	-66454.657				
0.055	-75073.242				
0.056	-10118.156				
0.056	77519.91				
0.056	66359.947				
0.057	67212.335				
0.057	73842.016				
0.058	20188.956				
0.058	-77440.985				
0.058	-65728.549				
0.059	-69248.594				
0.059	-70827.09				
0.06	-40251.633				
0.06	70685.025				
0.06	67259.69				
0.061	69090.745				
0.061	69406.444				
0.062	48096.755				
0.062	-67243.905				
0.062	-67638.529				
0.063	-70685.025				
0.063	-66312.593				
0.064	-62350.569				
0.064	53321.575				
0.064	71000.724				
0.065	69359.089				
0.065	65933.754				
0.066	66723.001				
0.066	-46123.636				
0.066	-72658.144				
0.067	-69674.788				
0.067	-64592.033				
0.068	-73684.166				
0.068	26076.744				
0.068	75830.92				
0.069	67970.013				
0.069	65223.431				
0.07	74678.618				
0.07	-16495.277				
0.07	-77598.835				
0.071	-67228.12				
0.071	-66091.603				
0.072	-75341.586				
0.072	-5919.358				
0.072	77740.899				
0.073	66407.302				
0.073	66849.281				
0.074	74189.285				
0.074	15990.159				
0.074	-77946.104				
0.075	-65681.194				
0.075	-68885.54				
0.076	-71426.918				
0.076	-36668.449				
0.076	72184.596				
0.077	66991.346				
0.077	68901.325				
0.078	70022.057				
0.078	44971.335				
0.078	-69248.594				
0.079	-67149.195				
0.079	-70669.24				
0.08	-66738.786				
0.08	-60172.245				
0.08	56178.652				
0.081	70353.541				
0.081	69422.229				
0.082	66233.668				
0.082	64907.732				
0.082	-49438.477				
0.083	-71900.466				
0.083	-69943.132				
0.084	-64639.387				
0.084	-72752.854				
0.084	30196.617				
0.085	75246.877				
0.085	68254.142				
0.086	65160.291				
0.086	74141.93				
0.086	-20725.645				
0.087	-77077.931				
0.087	-67575.389				
0.088	-65744.334				
0.088	-75531.006				
0.088	-1578.495				
0.089	77835.609				
0.089	66580.937				
0.09	66644.077				
0.09	74631.263				
0.09	11822.931				
0.091	-78372.298				
0.091	-65728.549				
0.092	-68617.196				
0.092	-72105.671				
0.092	-32974.769				
0.093	73510.532				
0.093	66707.216				
0.094	68680.336				
0.094	70653.455				
0.094	41656.494				
0.095	-70906.014				
0.095	-66849.281				
0.096	-70621.885				
0.096	-67243.905				
0.096	-57615.083				
0.097	58877.879				
0.097	69753.713				
0.098	69453.798				
0.098	66580.937				
0.098	62871.473				
0.099	-52595.467				
0.099	-71127.004				
0.1	-70179.906				
0.1	-64639.387				
0.1	-71774.187				
0.101	33969.221				
0.101	74662.833				
0.102	68380.422				
0.102	65144.506				
0.102	73463.177				
0.103	-24908.658				
0.103	-76541.243				
0.104	-67875.303				
0.104	-65475.99				
0.104	-75673.07				
0.105	2762.367				
0.105	77804.039				
0.106	66770.356				
0.106	66375.732				
0.106	74962.748				
0.107	7624.133				
0.107	-78545.932				
0.108	-65965.324				
0.108	-68127.862				
0.108	-72942.273				
0.109	-29012.746				
0.109	74252.425				
0.11	66880.851				
0.11	68096.292				
0.11	71789.972				
0.111	37552.406				
0.111	-71568.982				
0.112	-67796.378				
0.112	-68569.841				
0.112	-70921.799				
0.113	-44482.001				
0.113	67670.099				
0.114	68033.153				
0.114	68743.476				
0.114	68948.68				
0.115	51411.596				
0.115	-64607.818				
0.116	-68538.271				
0.116	-70779.735				
0.116	-65823.259				
0.117	-64939.302				
0.117	49343.767				
0.118	71695.262				
0.118	69153.884				
0.118	65460.205				
0.119	68522.486				
0.119	-41814.344				
0.12	-73621.026				
0.12	-69516.938				
0.12	-64781.452				
0.121	-74647.048				
0.121	21120.269				
0.122	76288.684				
0.122	67654.314				
0.122	65333.925				
0.123	75010.102				
0.123	-11159.963				
0.124	-78230.233				
0.124	-66896.636				
0.124	-66675.647				
0.125	-75089.027				
0.125	-11302.027				
0.126	77456.77				
0.126	66249.453				
0.126	67228.12				
0.127	73636.811				
0.127	21167.624				
0.128	-77298.921				
0.128	-65728.549				
0.128	-69359.089				
0.129	-70653.455				
0.129	-41246.085				
0.13	70227.261				
0.13	67228.12				
0.13	69106.529				
0.131	69201.239				
0.131	48901.788				
0.132	-66723.001				
0.132	-67891.088				
0.132	-70858.659				
0.133	-66217.883				
0.133	-62918.827				
0.134	52484.973				
0.134	71127.004				
0.134	69343.304				
0.135	65791.689				
0.135	67133.41				
0.136	-45255.464				
0.136	-72879.134				
0.136	-69706.358				
0.137	-64670.957				
0.137	-73952.51				
0.138	25113.862				
0.138	75878.275				
0.138	67827.948				
0.139	65239.216				
0.139	74710.188				
0.14	-15248.266				
0.14	-77819.824				
0.14	-67228.12				
0.141	-66154.743				
0.141	-75373.156				
0.142	-7229.509				
0.142	77693.545				
0.142	66423.087				
0.143	66975.561				
0.143	74110.36				
0.144	17426.589				
0.144	-77867.179				
0.144	-65665.409				
0.145	-69074.96				
0.145	-71269.068				
0.146	-37915.46				
0.146	71695.262				
0.146	67054.485				
0.147	69011.82				
0.147	69785.283				
0.148	45997.357				
0.148	-68585.626				
0.148	-67385.969				
0.149	-70748.165				
0.149	-66644.077				
0.15	-60929.923				
0.15	55152.63				
0.15	70558.745				
0.151	69422.229				
0.151	66091.603				
0.152	65507.56				
0.152	-48317.745				
0.152	-72137.241				
0.153	-69911.562				
0.153	-64576.248				
0.154	-73242.187				
0.154	28744.402				
0.154	75452.081				
0.155	68080.507				
0.155	65112.936				
0.156	74299.779				
0.156	-19036.655				
0.156	-77362.061				
0.157	-67480.679				
0.157	-65886.399				
0.158	-75515.221				
0.158	-3330.625				
0.158	77788.254				
0.159	66486.227				
0.159	66754.571				
0.16	74520.769				
0.16	13685.555				
0.16	-78246.018				
0.161	-65744.334				
0.161	-68822.4				
0.162	-71916.251				
0.162	-34600.62				
0.162	72958.058				
0.163	66801.926				
0.163	68901.325				
0.164	70385.111				
0.164	43029.785				
0.164	-70211.476				
0.165	-66959.776				
0.165	-70621.885				
0.166	-67054.485				
0.166	-58814.739				
0.166	57662.438				
0.167	70022.057				
0.167	69501.153				
0.168	66359.947				
0.168	63818.57				
0.168	-51206.391				
0.169	-71474.273				
0.169	-70085.197				
0.17	-64623.603				
0.17	-72326.66				
0.17	32201.307				
0.171	74962.748				
0.171	68269.927				
0.172	65112.936				
0.172	73842.016				
0.172	-22698.764				
0.173	-76872.727				
0.173	-67780.593				
0.174	-65570.7				
0.174	-75704.64				
0.174	363.054				
0.175	77819.824				
0.175	66644.077				
0.176	66517.797				
0.176	74773.328				
0.176	9912.951				
0.177	-78498.577				
0.177	-65823.259				
0.178	-68443.561				
0.178	-72468.725				
0.178	-31238.424				
0.179	73999.865				
0.179	66612.507				
0.18	68601.411				
0.18	70937.584				
0.18	39841.224				
0.181	-71837.327				
0.181	-66644.077				
0.182	-70479.821				
0.182	-67528.034				
0.182	-56273.362				
0.183	60251.17				
0.183	69422.229				
0.184	69532.723				
0.184	66770.356				
0.184	61829.666				
0.185	-54110.823				
0.185	-70795.52				
0.186	-70321.971				
0.186	-64670.957				
0.186	-71253.283				
0.187	35816.061				
0.187	74331.349				
0.188	68506.701				
0.188	65128.721				
0.188	73115.908				
0.189	-26566.078				
0.189	-76272.899				
0.19	-68112.077				
0.19	-65397.065				
0.19	-75783.565				
0.191	4530.282				
0.191	77725.114				
0.192	66786.141				
0.192	66265.238				
0.192	75057.457				
0.193	5761.508				
0.193	-78672.212				
0.194	-65902.184				
0.194	-68080.507				
0.194	-73005.413				
0.195	-27607.885				
0.195	75010.102				
0.196	66454.657				
0.196	68411.992				
0.196	71537.412				
0.197	36526.384				
0.197	-73163.263				
0.198	-66281.023				
0.198	-70353.541				
0.198	-68096.292				
0.199	-53795.124				
0.199	62397.924				
0.2	68948.68				
0.2	69516.938				
0.2	67243.905				
0.201	59667.127				
0.201	-56920.545				
0.202	-70116.767				
0.202	-70479.821				
0.202	-64939.302				
0.203	-69974.702				
0.203	39351.891				
0.204	73715.736				
0.204	68759.261				
0.204	65191.861				
0.205	72342.445				
0.205	-30464.962				
0.206	-75641.501				
0.206	-68443.561				
0.206	-65097.151				
0.207	-75578.361				
0.207	8634.37				
0.208	77504.125				
0.208	66959.776				
0.208	66028.463				
0.209	75215.307				
0.209	1657.42				
0.21	-78719.567				
0.21	-66060.033				
0.21	-67670.099				
0.211	-73557.887				
0.211	-23756.356				
0.212	75846.705				
0.212	66375.732				
0.212	68159.432				
0.213	72026.746				
0.213	33195.759				
0.214	-74347.134				
0.214	-66075.818				
0.214	-70211.476				
0.215	-68648.766				
0.215	-51048.542				
0.216	64528.893				
0.216	68490.916				
0.216	69501.153				
0.217	67591.174				
0.217	57457.233				
0.218	-59351.428				
0.218	-69485.368				
0.218	-70653.455				
0.219	-65128.721				
0.219	-68743.476				
0.22	42414.172				
0.22	73179.048				
0.22	68917.11				
0.221	65255.001				
0.221	71426.918				
0.222	-33874.512				
0.222	-75041.672				
0.222	-68680.336				
0.223	-64860.377				
0.223	-75420.511				
0.224	12375.404				
0.224	77283.136				
0.224	67164.98				
0.225	65823.259				
0.225	75246.877				
0.226	-2162.539				
0.226	-78640.642				
0.226	-66296.808				
0.227	-67338.615				
0.227	-74078.79				
0.228	-20078.462				
0.228	76478.103				
0.228	66328.378				
0.229	67859.518				
0.229	72595.004				
0.23	29675.714				
0.23	-75452.081				
0.23	-65902.184				
0.231	-69974.702				
0.231	-69248.594				
0.232	-48223.035				
0.232	66454.657				
0.232	68064.723				
0.233	69374.874				
0.233	68096.292				
0.234	55168.415				
0.234	-61719.171				
0.234	-68932.895				
0.235	-70685.025				
0.235	-65349.71				
0.236	-67086.055				
0.236	45697.442				
0.236	72563.434				
0.237	69043.39				
0.237	65349.71				
0.238	70274.616				
0.238	-37520.836				
0.238	-74378.704				
0.239	-68980.25				
0.239	-64734.097				
0.24	-75167.952				
0.24	16290.073				
0.24	77014.792				
0.241	67417.539				
0.241	65554.915				
0.242	75246.877				
0.242	-6108.777				
0.242	-78467.007				
0.243	-66565.152				
0.243	-66975.561				
0.244	-74520.769				
0.244	-16305.858				
0.244	76935.867				
0.245	66281.023				
0.245	67638.529				
0.246	73179.048				
0.246	26092.529				
