Time (ms) - In-Phase Raw Data	Amplitude (uV) - In-Phase Raw Data	Time (ms) - Quad-Phase Raw Data	Amplitude (uV) - Quad-Phase Raw Data	Time (ms) - Envelope	Amplitude (uV) - Envelope
0	88474.668				
0	42224.752				
0.001	-55121.06				
0.001	-77914.534				
0.002	-1736.345				
0.002	83281.418				
0.002	58199.126				
0.003	-40819.892				
0.003	-81876.557				
0.004	-19668.053				
0.004	74126.145				
0.004	71426.918				
0.005	-24514.034				
0.005	-82460.601				
0.006	-36494.814				
0.006	61545.536				
0.006	81560.858				
0.007	-6598.111				
0.007	-79398.32				
0.008	-51348.456				
0.008	46123.636				
0.008	87669.636				
0.009	12028.135				
0.009	-73052.768				
0.01	-63692.29				
0.01	29091.671				
0.01	89642.755				
0.011	30354.467				
0.011	-63345.021				
0.012	-73257.972				
0.012	10781.124				
0.012	87275.012				
0.013	47544.282				
0.013	-50780.198				
0.014	-79540.384				
0.014	-7608.348				
0.014	80850.535				
0.015	62713.623				
0.015	-35847.631				
0.016	-82444.816				
0.016	-25224.357				
0.016	70495.605				
0.017	75010.102				
0.017	-18768.311				
0.018	-81892.342				
0.018	-41435.505				
0.018	56888.975				
0.019	83991.741				
0.019	-536.688				
0.02	-77756.684				
0.02	-55594.609				
0.02	40883.031				
0.021	88821.937				
0.021	17963.278				
0.022	-70274.616				
0.022	-67086.055				
0.022	23314.377				
0.023	89421.766				
0.023	35958.126				
0.024	-59572.417				
0.024	-75641.501				
0.024	4909.121				
0.025	85633.377				
0.025	52705.962				
0.026	-46155.206				
0.026	-80882.105				
0.026	-13322.501				
0.027	77835.609				
0.027	67038.7				
0.028	-30464.962				
0.028	-82681.59				
0.028	-30559.671				
0.029	66375.732				
0.029	78293.373				
0.03	-13022.587				
0.03	-80976.815				
0.03	-46234.131				
0.031	51964.069				
0.031	85949.076				
0.032	5445.809				
0.032	-75720.425				
0.032	-59540.847				
0.033	35453.007				
0.033	89390.196				
0.034	23787.926				
0.034	-67243.905				
0.034	-70243.046				
0.035	17363.45				
0.035	88679.873				
0.036	41514.43				
0.036	-55626.179				
0.036	-77661.975				
0.037	-1010.237				
0.037	83549.763				
0.038	57583.513				
0.038	-41435.505				
0.038	-81860.772				
0.039	-18957.73				
0.039	74473.414				
0.04	71079.649				
0.04	-24971.798				
0.04	-82507.956				
0.041	-35863.416				
0.041	62161.15				
0.042	81087.31				
0.042	-7150.584				
0.042	-79666.664				
0.043	-50717.058				
0.043	46976.024				
0.044	87543.356				
0.044	12233.34				
0.044	-72989.628				
0.045	-63929.065				
0.045	28476.057				
0.046	89690.11				
0.046	30780.661				
0.046	-63076.677				
0.047	-73494.747				
0.047	10197.08				
0.048	87117.162				
0.048	47986.261				
0.048	-50385.574				
0.049	-79714.019				
0.049	-8034.542				
0.05	80550.621				
0.05	63060.892				
0.05	-35247.803				
0.051	-82523.741				
0.051	-25713.69				
0.052	70116.767				
0.052	75325.801				
0.052	-18200.052				
0.053	-81829.203				
0.053	-41893.268				
0.054	56415.426				
0.054	84133.806				
0.054	15.785				
0.055	-77630.405				
0.055	-55957.663				
0.056	40409.483				
0.056	88885.077				
0.056	18484.181				
0.057	-70037.842				
0.057	-67354.4				
0.058	22872.399				
0.058	89279.701				
0.058	36463.244				
0.059	-59240.933				
0.059	-75972.985				
0.06	4325.077				
0.06	85491.312				
0.06	53211.081				
0.061	-45602.733				
0.061	-80976.815				
0.062	-13859.19				
0.062	77504.125				
0.062	67417.539				
0.063	-29912.488				
0.063	-82713.16				
0.064	-31222.639				
0.064	65933.754				
0.064	78672.212				
0.065	-12328.049				
0.065	-80818.966				
0.066	-46755.034				
0.066	51427.381				
0.066	86201.635				
0.067	6029.853				
0.067	-75531.006				
0.068	-59998.611				
0.068	34900.534				
0.068	89469.12				
0.069	24466.679				
0.069	-66865.066				
0.07	-70511.39				
0.07	16732.051				
0.07	88522.023				
0.071	42161.613				
0.071	-55136.845				
0.072	-77930.319				
0.072	-1720.56				
0.072	83328.773				
0.073	58135.986				
0.073	-40819.892				
0.074	-81971.267				
0.074	-19573.343				
0.074	74126.145				
0.075	71426.918				
0.075	-24529.819				
0.076	-82492.171				
0.076	-36415.889				
0.076	61561.321				
0.077	81481.934				
0.077	-6440.261				
0.078	-79508.814				
0.078	-51316.886				
0.078	46234.131				
0.079	87701.206				
0.079	11964.995				
0.08	-73036.983				
0.08	-63692.29				
0.08	29075.886				
