Time (ms) - In-Phase Raw Data	Amplitude (uV) - In-Phase Raw Data	Time (ms) - Quad-Phase Raw Data	Amplitude (uV) - Quad-Phase Raw Data	Time (ms) - Envelope	Amplitude (uV) - Envelope
0	-55831.383				
0	39304.536				
0.001	85207.183				
0.001	14616.868				
0.002	-71584.767				
0.002	-67275.475				
0.002	22162.076				
0.003	86028				
0.003	32438.081				
0.004	-61292.977				
0.004	-75894.06				
0.004	3946.239				
0.005	82586.88				
0.005	48917.573				
0.006	-48207.25				
0.006	-81260.944				
0.006	-13953.9				
0.007	75152.167				
0.007	63187.172				
0.008	-32816.92				
0.008	-83234.064				
0.008	-31064.79				
0.009	64118.484				
0.009	74536.554				
0.01	-15658.675				
0.01	-81781.848				
0.01	-46565.615				
0.011	50038.305				
0.011	82223.826				
0.012	2225.679				
0.012	-76809.587				
0.012	-59793.407				
0.013	33874.512				
0.013	85949.076				
0.014	20536.225				
0.014	-68569.841				
0.014	-70495.605				
0.015	16132.223				
0.015	85349.247				
0.016	37947.03				
0.016	-57315.169				
0.016	-78056.599				
0.017	-1957.334				
0.017	80566.406				
0.018	53779.339				
0.018	-43471.764				
0.018	-82286.966				
0.019	-19636.483				
0.019	71963.606				
0.02	67133.41				
0.02	-27513.175				
0.02	-83091.999				
0.021	-36321.18				
0.021	59856.546				
0.022	77456.77				
0.022	-9991.876				
0.022	-80566.406				
0.023	-51159.037				
0.023	44955.55				
0.024	83881.247				
0.024	8192.391				
0.024	-74520.769				
0.025	-63581.796				
0.025	28302.423				
0.026	86201.635				
0.026	26266.164				
0.026	-65176.076				
0.027	-73289.542				
0.027	10244.435				
0.028	84260.086				
0.028	43345.484				
0.028	-53084.801				
0.029	-79808.728				
0.029	-7813.552				
0.03	78230.233				
0.03	58451.685				
0.03	-38499.503				
0.031	-82918.364				
0.031	-25287.497				
0.032	68348.852				
0.032	70969.154				
0.032	-21846.377				
0.033	-82602.665				
0.033	-41403.935				
0.034	55247.34				
0.034	79935.008				
0.034	-4040.948				
0.035	-78877.416				
0.035	-55484.114				
0.036	39651.805				
0.036	85128.258				
0.036	14143.319				
0.037	-71805.757				
0.037	-67086.055				
0.038	22477.775				
0.038	86043.785				
0.038	31964.532				
0.039	-61513.967				
0.039	-75783.565				
0.04	4388.217				
0.04	82634.235				
0.04	48570.304				
0.041	-48491.379				
0.041	-81213.589				
0.042	-13511.921				
0.042	75420.511				
0.042	62871.473				
0.043	-33274.683				
0.043	-83249.848				
0.044	-30591.241				
0.044	64449.968				
0.044	74236.64				
0.045	-16195.363				
0.045	-81829.203				
0.046	-46234.131				
0.046	50480.284				
0.046	82018.622				
0.047	1799.485				
0.047	-76951.652				
0.048	-59461.922				
0.048	34348.06				
0.048	85838.581				
0.049	19967.967				
0.049	-68822.4				
0.05	-70211.476				
0.05	16700.482				
0.05	85428.172				
0.051	37441.911				
0.051	-57646.653				
0.052	-77867.179				
0.052	-1436.431				
0.052	80771.611				
0.053	53337.36				
0.053	-43882.173				
0.054	-82208.041				
0.054	-19147.149				
0.054	72295.09				
0.055	66849.281				
0.055	-27892.014				
0.056	-83139.354				
0.056	-35879.201				
0.056	60188.03				
0.057	77141.071				
0.057	-10496.995				
0.058	-80708.471				
0.058	-50653.918				
0.058	45571.163				
0.059	83691.827				
0.059	7687.273				
0.06	-74694.403				
0.06	-63281.881				
0.06	28775.972				
0.061	86217.42				
0.061	25776.83				
0.062	-65507.56				
0.062	-73052.768				
