*Frequency 	Vadc-abs (dB)	Vadc-phase (deg)
10000	49.8799790607315	-176.532988474763
10506.5777900836	49.8815200702441	-176.705005071229
11038.8176859077	49.8829165047687	-176.869048295627
11598.0196727539	49.8841818821721	-177.02550858069
12185.5495902709	49.8853284629786	-177.174759240663
12802.8424685101	49.8863673659719	-177.317157191629
13451.4060329587	49.8873086733923	-177.453043657769
14132.824387128	49.8881615266246	-177.582744861804
14848.761881695	49.8889342131999	-177.706572698259
15600.9671796456	49.8896342458645	-177.824825388563
16391.2775273487	49.8902684344598	-177.937788117309
17221.6232419937	49.8908429511368	-178.045733649258
18094.0324263518	49.8913633896497	-178.148922926872
19010.635922376	49.8918348191477	-178.247605648375
19973.67251574	49.8922618329889	-178.342020826458
20985.4944040276	49.892648593111	-178.432397327894
22048.5729419279	49.892998870134	-178.51895439443
23165.5046774697	49.8933160798817	-178.601902145385
24339.0176940379	49.8936033164217	-178.681442062487
25571.978273663	49.8938633820724	-178.757767457504
26867.3978978566	49.8940988145208	-178.831063923274
28228.4406030958	49.894311911511	-178.901509768794
29658.4307089179	49.8945047530934	-178.969276439013
31160.8609375049	49.8946792218996	-179.034528920016
32739.4009445871	49.8948370213741	-179.097426130305
34397.9062825039	49.8949796924394	-179.158121298862
36140.4278173131	49.8951086283806	-179.216762330697
37971.22162295	49.8952250884974	-179.273492160596
39894.7593766027	49.8953302103296	-179.328449095758
41915.7392806941	49.8954250207475	-179.381767148015
44039.0975381473	49.8955104459517	-179.433576356327
46270.0204089622	49.8955873205342	-179.484003100244
48613.9568775515	49.8956563955606	-179.533170404983
51076.6319617762	49.895718345951	-179.581198238816
53664.0606961869	49.8957737770325	-179.628203803409
56382.5628236253	49.8958232304527	-179.674301817764
59238.7782310692	49.8958671894578	-179.719604796414
62239.6831674237	49.8959060836407	-179.764223322502
65392.6072828691	49.8959402930711	-179.808266316368
68705.2515313848	49.8959701520848	-179.851841300278
72185.7069801752	49.8959959525003	-179.895054659903
75842.4745719388	49.8960179464527	-179.938011903163
79684.4858882508	49.8960363488949	-179.980817917054
83721.1249647722	49.8960513396894	-180.023577223058
87962.2512115686	49.8960630653403	-180.066394231742
92418.2234945216	49.8960716404562	-180.109373497159
97099.9254366518	49.8960771488457	-180.152619971655
102018.79200115	49.8960796443358	-180.196239261695
107186.837421043	49.8960791513055	-180.240337885312
112616.684543723	49.8960756649395	-180.285023531812
118321.595661992	49.8960691511732	-180.330405324345
124315.504906954	49.8960595463123	-180.376594085981
130613.052281842	49.8960467564733	-180.423702609934
137229.619419942	49.8960306566588	-180.471845934569
144181.367153918	49.8960110894805	-180.521141623874
151485.274988324	49.8959878637087	-180.571710054052
159159.182571703	49.8959607523171	-180.623674706931
167221.83326957	49.8959294903124	-180.677162470895
175692.919944712	49.8958937721619	-180.732303950052
184593.133056604	49.8958532487612	-180.789233782381
193944.211197445	49.8958075240486	-180.848090967613
203768.994188235	49.8957561511369	-180.909019205631
214091.478864578	49.8956986279732	-180.972167246186
224936.877688472	49.8956343923888	-181.037689250756
236331.680329243	49.8955628166266	-181.105745167404
248303.718364036	49.8954832012601	-181.176501119508
260882.233255874	49.8953947682551	-181.250129809274
274097.947775356	49.8952966535432	-181.326810936964
287983.141040404	49.8951878984073	-181.406731636816
302571.72735736	49.8950674402633	-181.490086930636
317899.339056006	49.8949341022311	-181.57708020012
334003.413520807	49.894786581674	-181.667923678941
350923.28463098	49.8946234375054	-181.762838965729
368700.278832703	49.8944430761267	-181.862057559061
387377.816078128	49.8942437359062	-181.965821415628
407001.515877754	49.8940234700112	-182.074383532808
427619.308725154	49.8937801274742	-182.188008556848
449281.553166259	49.8935113322323	-182.306973417952
472041.158799086	49.8932144600018	-182.431567993575
495953.715504378	49.8928866127899	-182.562095801251
521077.629222771	49.8925245907125	-182.698874722311
547474.264610135	49.8921248609045	-182.842237757892
575208.094919518	49.8916835232265	-182.992533818617
604346.859475768	49.8911962724497	-183.150128549368
634961.729127485	49.890658356522	-183.315405190581
667127.480080387	49.8900645305439	-183.48876547745
700922.676536701	49.8894090060393	-183.67063057845
736429.862586642	49.8886853950037	-183.861442074558
773735.763820709	49.8878866482902	-184.06166298046
812931.499155199	49.8870049876095	-184.27177880903
854112.803388334	49.8860318307304	-184.49229868022
897380.261030588	49.8849577089437	-184.72375647544
942839.551980334	49.8837721762887	-184.966712038306
990601.709644891	49.8824637095588	-185.221752422485
1040783.39213738	49.8810195982041	-185.48949318715
1093507.16721184	49.8794258232511	-185.770579740205
1148901.81163251	49.8776669240489	-186.065688729236
1207102.62570849	49.8757258518371	-186.375529479586
1268251.76376204	49.8735838086442	-186.700845478589
1332498.58133765	49.8712200705071	-187.042415904376
1400000	49.86861179318	-187.401057197006
 
