Time (ms) - In-Phase Raw Data	Amplitude (uV) - In-Phase Raw Data	Time (ms) - Quad-Phase Raw Data	Amplitude (uV) - Quad-Phase Raw Data	Time (ms) - Envelope	Amplitude (uV) - Envelope
0	51900.929				
0	51143.252				
0.001	50369.789				
0.001	49391.122				
0.002	48428.239				
0.002	47812.626				
0.002	46928.669				
0.003	46044.711				
0.003	45129.184				
0.004	44608.281				
0.004	43550.689				
0.004	43108.71				
0.005	41877.483				
0.005	41940.623				
0.006	40377.913				
0.006	40630.472				
0.006	38657.353				
0.007	39746.515				
0.007	36873.653				
0.008	38736.278				
0.008	34758.469				
0.008	38830.987				
0.009	31348.919				
0.009	41135.591				
0.01	-57473.018				
0.01	-108868.829				
0.01	-94883.36				
0.011	-100802.718				
0.011	-93478.499				
0.012	-95656.822				
0.012	-91631.659				
0.012	-92231.487				
0.013	-88522.023				
0.013	-88569.378				
0.014	-86343.699				
0.014	-85507.097				
0.014	-83076.214				
0.015	-82492.171				
0.015	-80913.675				
0.016	-79603.524				
0.016	-77819.824				
0.016	-77046.361				
0.017	-75751.995				
0.017	-74141.93				
0.018	-72847.564				
0.018	-71916.251				
0.018	-70748.165				
0.019	-69232.809				
0.019	-68112.077				
0.02	-67307.045				
0.02	-66091.603				
0.02	-64686.742				
0.021	-63755.43				
0.021	-62871.473				
0.022	-61719.171				
0.022	-60472.16				
0.022	-59619.772				
0.023	-58751.6				
0.023	-57520.373				
0.024	-56510.136				
0.024	-55815.598				
0.024	-54821.146				
0.025	-53826.694				
0.025	-52879.597				
0.026	-52074.564				
0.026	-51364.241				
0.026	-50227.724				
0.027	-49454.262				
0.027	-48743.939				
0.028	-47938.906				
0.028	-46976.024				
0.028	-46297.271				
0.029	-45539.593				
0.029	-44829.27				
0.03	-43724.323				
0.03	-43424.409				
0.03	-42303.677				
0.031	-42130.043				
0.031	-40614.687				
0.032	-40946.171				
0.032	-39162.471				
0.032	-39920.149				
0.033	-37284.062				
0.033	-39525.525				
0.034	-34632.19				
0.034	-41498.645				
0.034	-12533.254				
0.035	96888.049				
0.035	97708.867				
0.036	98356.05				
0.036	94772.865				
0.036	94078.327				
0.037	91710.584				
0.037	91300.175				
0.038	88664.088				
0.038	87464.431				
0.038	85996.43				
0.039	84954.624				
0.039	82839.44				
0.04	81560.858				
0.04	80329.632				
0.04	79129.975				
0.041	77362.061				
0.041	76099.264				
0.042	75041.672				
0.042	73715.736				
0.042	72105.671				
0.043	71127.004				
0.043	70132.552				
0.044	68696.121				
0.044	67322.83				
0.044	66391.517				
0.045	65349.71				
0.045	64039.559				
0.046	62855.688				
0.046	62034.87				
0.046	61040.418				
0.047	59698.697				
