Time (ms) - In-Phase Raw Data	Amplitude (uV) - In-Phase Raw Data	Time (ms) - Quad-Phase Raw Data	Amplitude (uV) - Quad-Phase Raw Data	Time (ms) - Envelope	Amplitude (uV) - Envelope
0	52974.306				
0	-59903.901				
0.001	-70464.036				
0.001	-67717.454				
0.002	-62429.494				
0.002	48554.519				
0.002	73778.876				
0.003	65996.894				
0.003	65491.775				
0.004	-45586.948				
0.004	-75104.812				
0.004	-63834.355				
0.005	-71616.337				
0.005	31648.833				
0.006	78025.029				
0.006	62318.999				
0.006	74015.65				
0.007	-28207.713				
0.007	-78656.427				
0.008	-61087.773				
0.008	-76809.587				
0.008	12691.103				
0.009	80313.847				
0.009	60219.6				
0.01	78403.868				
0.01	-9202.628				
0.01	-80171.782				
0.011	-60251.17				
0.011	-78467.007				
0.012	-7182.154				
0.012	79682.449				
0.012	60377.45				
0.013	79035.266				
0.013	10986.328				
0.014	-78640.642				
0.014	-61371.902				
0.014	-77188.426				
0.015	-26345.089				
0.015	75341.586				
0.016	62776.763				
0.016	76683.308				
0.016	30070.338				
0.017	-73542.102				
0.017	-64386.828				
0.018	-73778.876				
0.018	-43471.764				
0.018	66896.636				
0.019	66928.206				
0.019	72547.65				
0.02	47197.013				
0.02	-64449.968				
0.02	-68664.551				
0.021	-69516.938				
0.021	-57899.212				
0.022	54473.877				
0.022	71758.402				
0.022	67891.088				
0.023	60993.063				
0.023	-51569.445				
0.024	-73257.972				
0.024	-65223.431				
0.024	-68522.486				
0.025	38578.428				
0.025	76478.103				
0.026	63566.011				
0.026	71158.574				
0.026	-35232.018				
0.027	-77440.985				
0.027	-61971.73				
0.028	-75310.017				
0.028	20141.602				
0.028	79729.804				
0.029	60787.859				
0.029	77109.501				
0.03	-16558.417				
0.03	-79919.223				
0.03	-60282.74				
0.031	-78198.663				
0.031	568.258				
0.032	80455.912				
0.032	60045.966				
0.032	79145.76				
0.033	3188.561				
0.033	-79745.589				
0.034	-60724.719				
0.034	-78009.244				
0.034	-19052.44				
0.035	77583.05				
0.035	61703.386				
0.036	77914.534				
0.036	22746.119				
0.036	-76083.479				
0.037	-63013.537				
0.037	-75246.877				
0.038	-37078.857				
0.038	70732.38				
0.038	65097.151				
0.039	74315.564				
0.039	40851.461				
0.04	-68522.486				
0.04	-66849.281				
0.04	-71237.498				
0.041	-52690.177				
0.041	59777.622				
0.042	69832.637				
0.042	69643.218				
0.042	56131.297				
0.043	-56983.685				
0.043	-71505.843				
0.044	-66801.926				
0.044	-64844.592				
0.044	45176.539				
0.045	74710.188				
0.045	65002.441				
0.046	67796.378				
0.046	-41909.053				
0.046	-76004.554				
0.047	-63045.107				
0.047	-73115.908				
0.048	27544.745				
0.048	78751.137				
0.048	61592.891				
0.049	75357.371				
0.049	-24056.27				
0.05	-79177.33				
0.05	-60693.149				
0.05	-77519.91				
0.051	8223.961				
0.051	80519.051				
0.052	60030.181				
0.052	78861.631				
0.052	-4514.497				
0.053	-80124.428				
0.053	-60330.095				
0.054	-78403.868				
0.054	-11523.017				
0.054	79082.621				
0.055	60772.074				
0.055	78719.567				
0.056	15279.836				
0.056	-77946.104				
0.056	-61955.945				
0.057	-76557.028				
0.057	-30291.327				
0.058	73889.371				
0.058	63487.086				
0.058	75925.63				
0.059	34032.361				
0.059	-71947.821				
0.06	-65176.076				
0.06	-72879.134				
0.06	-46944.454				
0.061	64544.678				
0.061	67875.303				
0.062	71553.197				
0.062	50417.144				
0.062	-62129.58				
0.063	-69643.218				
0.063	-68569.841				
0.064	-60487.945				
0.064	51316.886				
0.064	72910.703				
0.065	66801.926				
0.065	63629.15				
0.066	-48254.605				
0.066	-74331.349				
0.066	-64402.613				
0.067	-70306.186				
0.067	34742.684				
0.068	77393.63				
0.068	62760.978				
0.068	72800.209				
0.069	-31427.844				
0.069	-78198.663				
0.07	-61482.397				
0.07	-76241.329				
0.07	16084.868				
0.071	80155.997				
0.071	60424.805				
0.072	77882.964				
0.072	-12359.619				
0.072	-80077.073				
0.073	-60235.385				
0.073	-78435.437				
0.074	-3725.249				
0.074	80077.073				
0.074	60188.03				
0.075	79114.19				
0.075	7560.993				
0.076	-79256.255				
0.076	-60961.493				
0.076	-77551.48				
0.077	-23093.388				
0.077	76462.318				
0.078	62224.289				
0.078	77251.566				
0.078	26913.347				
0.079	-74757.543				
0.079	-63787				
0.08	-74441.844				
0.08	-40867.246				
0.08	68632.981				
0.081	66123.173				
0.081	73289.542				
0.082	44466.216				
0.082	-66296.808				
0.082	-67827.948				
0.083	-70306.186				
0.083	-55641.964				
0.084	56873.19				
0.084	70969.154				
0.084	68554.056				
0.085	59004.159				
0.085	-53968.758				
0.086	-72531.865				
0.086	-65933.754				
0.086	-66991.346				
0.087	41467.075				
0.087	75799.35				
0.088	64181.624				
0.088	69769.498				
0.088	-38199.589				
0.089	-76762.232				
0.089	-62334.784				
0.09	-74441.844				
0.09	23456.442				
0.09	79319.395				
0.091	61087.773				
0.091	76351.823				
0.092	-19904.827				
0.092	-79666.664				
0.092	-60519.514				
0.093	-77977.674				
0.093	3804.174				
0.094	80534.836				
0.094	59998.611				
0.094	79098.406				
0.095	-94.71				
0.095	-79998.148				
0.096	-60535.299				
0.096	-78167.093				
0.096	-15848.094				
0.097	78340.728				
0.097	61182.482				
0.098	78246.018				
0.098	19699.623				
0.098	-76983.222				
0.099	-62539.989				
0.099	-75862.49				
0.1	-34348.06				
0.1	72137.241				
0.1	64418.398				
0.101	75041.672				
0.101	38057.525				
0.102	-70037.842				
0.102	-66202.098				
0.102	-71963.606				
0.103	-50354.004				
0.103	61892.805				
0.104	68980.25				
0.104	70416.681				
0.104	53810.909				
0.105	-59193.578				
0.105	-70716.595				
0.106	-67480.679				
0.106	-63013.537				
0.106	47844.196				
0.107	73952.51				
0.107	65760.119				
0.108	66138.958				
0.108	-44655.635				
0.108	-75357.371				
0.109	-63581.796				
0.109	-72010.961				
0.11	30654.381				
0.11	78230.233				
0.11	62034.87				
0.111	74394.489				
0.111	-27181.691				
0.112	-78751.137				
0.112	-60993.063				
0.112	-76999.007				
0.113	11491.447				
0.113	80440.127				
0.114	60156.46				
0.114	78467.007				
0.114	-7766.197				
0.115	-80219.137				
0.115	-60251.17				
0.116	-78467.007				
0.116	-8350.241				
0.116	79556.169				
0.117	60424.805				
0.117	78972.126				
0.118	12075.49				
0.118	-78514.362				
0.118	-61482.397				
0.119	-77030.577				
0.119	-27481.605				
0.12	74978.532				
0.12	62981.967				
0.12	76462.318				
0.121	31206.854				
0.121	-73179.048				
0.122	-64592.033				
0.122	-73652.596				
0.122	-44497.786				
0.123	66296.808				
0.123	67149.195				
0.124	72342.445				
0.124	48112.54				
0.124	-63850.14				
0.125	-68790.83				
0.125	-69217.024				
0.126	-58609.535				
0.126	53637.274				
0.126	72105.671				
0.127	67480.679				
0.127	61892.805				
0.128	-50574.993				
0.128	-73636.811				
0.128	-64986.656				
0.129	-69027.605				
0.129	37583.976				
0.13	76746.447				
0.13	63329.236				
0.13	71679.477				
0.131	-34174.426				
0.131	-77598.835				
0.132	-61798.096				
0.132	-75546.791				
0.132	19084.01				
0.133	79824.513				
0.133	60598.439				
0.134	77393.63				
0.134	-15358.76				
0.134	-80029.718				
0.135	-60298.525				
0.135	-78293.373				
0.136	-694.538				
0.136	80440.127				
0.136	60109.106				
0.137	79177.33				
0.137	4530.282				
0.138	-79587.739				
0.138	-60819.429				
0.138	-77898.749				
0.139	-20236.311				
0.139	77235.781				
0.14	61766.526				
0.14	77709.33				
0.14	24056.27				
0.141	-75736.21				
0.141	-63187.172				
0.142	-75104.812				
0.142	-38246.944				
0.142	70179.906				
0.143	65381.28				
0.143	74031.435				
0.144	41956.408				
0.144	-67875.303				
0.144	-67196.55				
0.145	-70937.584				
0.145	-53621.489				
0.146	58909.449				
0.146	70132.552				
0.146	69295.949				
0.147	57046.824				
0.147	-56068.157				
0.148	-71805.757				
0.148	-66533.582				
0.148	-65570.7				
0.149	43850.603				
0.149	75073.242				
0.15	64765.667				
0.15	68427.776				
0.15	-40725.182				
0.151	-76257.114				
0.151	-62855.688				
0.152	-73526.317				
0.152	26266.164				
0.152	78956.341				
0.153	61435.042				
0.153	75688.855				
0.154	-22651.409				
0.154	-79366.75				
0.154	-60566.869				
0.155	-77709.33				
0.155	6834.885				
0.156	80503.266				
0.156	60014.396				
0.156	78940.556				
0.157	-3046.496				
0.157	-80140.212				
0.158	-60377.45				
0.158	-78356.513				
0.158	-12785.813				
0.159	78893.201				
0.159	60850.998				
0.16	78609.072				
0.16	16716.267				
0.16	-77661.975				
0.161	-62098.01				
0.161	-76383.393				
0.162	-31633.048				
0.162	73289.542				
0.162	63771.215				
0.163	75609.931				
0.163	35437.222				
0.164	-71269.068				
0.164	-65491.775				
0.164	-72531.865				
0.165	-48065.186				
0.165	63676.505				
0.166	68238.357				
0.166	71174.358				
0.166	51569.445				
0.167	-61087.773				
0.167	-69958.917				
0.168	-68191.002				
0.168	-61356.117				
0.168	50006.735				
0.169	73147.478				
0.169	66486.227				
0.17	64481.538				
0.17	-47102.303				
0.17	-74583.909				
0.171	-64165.839				
0.171	-70921.799				
0.172	33479.888				
0.172	77630.405				
0.172	62571.558				
0.173	73336.897				
0.173	-30007.198				
0.174	-78372.298				
0.174	-61324.547				
0.174	-76509.673				
0.175	14474.803				
0.175	80298.062				
0.176	60251.17				
0.176	78103.953				
0.176	-10796.909				
0.177	-80171.782				
0.177	-60251.17				
0.178	-78467.007				
0.178	-5272.175				
0.178	79935.008				
0.179	60188.03				
0.179	79066.836				
0.18	9060.564				
0.18	-78987.911				
0.18	-61229.837				
0.181	-77393.63				
0.181	-24514.034				
0.182	76036.124				
0.182	62508.419				
0.182	77062.146				
0.183	28302.423				
0.183	-74252.425				
0.184	-63944.849				
0.184	-74347.134				
0.184	-41830.129				
0.185	68001.583				
0.185	66359.947				
0.186	73068.553				
0.186	45555.378				
0.186	-65602.27				
0.187	-68175.217				
0.187	-70006.272				
0.188	-56494.351				
0.188	55926.093				
0.188	71300.638				
0.189	68333.067				
0.189	59840.761				
0.19	-52974.306				
0.19	-72863.349				
0.19	-65696.979				
0.191	-67654.314				
0.191	40235.848				
0.192	76067.694				
0.192	63913.28				
0.192	70306.186				
0.193	-37031.503				
0.193	-77125.286				
0.194	-62192.72				
0.194	-74789.113				
0.194	22130.506				
0.195	79493.029				
0.195	60898.353				
0.196	76730.662				
0.196	-18657.816				
0.196	-79808.728				
0.197	-60409.02				
0.197	-78072.383				
0.198	2730.797				
0.198	80455.912				
0.198	60093.321				
0.199	79114.19				
0.199	1120.732				
0.2	-79903.438				
0.2	-60566.869				
0.2	-78135.523				
0.201	-17000.396				
0.201	78009.244				
0.202	61324.547				
0.202	78198.663				
0.202	20788.785				
0.203	-76635.953				
0.203	-62713.623				
0.204	-75704.64				
0.204	-35326.728				
0.204	71584.767				
0.205	64623.603				
0.205	74789.113				
0.206	39115.117				
0.206	-69469.583				
0.206	-66391.517				
0.207	-71663.692				
0.207	-51159.037				
0.208	61150.913				
0.208	69248.594				
0.208	70132.552				
0.209	54584.372				
0.209	-58435.9				
0.21	-70984.939				
0.21	-67307.045				
0.21	-63597.58				
0.211	46991.809				
0.211	74268.21				
0.212	65523.345				
0.212	66691.432				
0.212	-43692.753				
0.213	-75531.006				
0.213	-63439.731				
0.214	-72389.8				
0.214	29596.789				
0.214	78403.868				
0.215	61861.236				
0.215	74647.048				
0.216	-26076.744				
0.216	-79003.696				
0.216	-60914.138				
0.217	-77251.566				
0.217	10402.285				
0.218	80424.342				
0.218	60156.46				
0.218	78561.717				
0.219	-6755.96				
0.219	-80219.137				
0.22	-60298.525				
0.22	-78514.362				
0.22	-9392.048				
0.221	79461.459				
0.221	60551.084				
0.222	78924.771				
0.222	13212.007				
0.222	-78324.943				
0.223	-61592.891				
0.223	-76872.727				
0.224	-28286.638				
0.224	74710.188				
0.224	63155.602				
0.225	76304.469				
0.225	32059.242				
0.226	-72800.209				
0.226	-64765.667				
0.226	-73336.897				
0.227	-45365.958				
0.227	65681.194				
0.228	67417.539				
0.228	72074.101				
0.228	48822.863				
0.229	-63155.602				
0.229	-69232.809				
0.23	-68996.035				
0.23	-59272.503				
0.23	52895.382				
0.231	72358.23				
0.231	67228.12				
0.232	62429.494				
0.232	-49848.885				
0.232	-73826.231				
0.233	-64765.667				
0.233	-69453.798				
0.234	36605.309				
0.234	76983.222				
0.234	63139.817				
0.235	72089.886				
0.235	-33274.683				
0.236	-77851.394				
0.236	-61703.386				
0.236	-75830.92				
0.237	18247.407				
0.237	79950.793				
0.238	60551.084				
0.238	77519.91				
0.238	-14522.158				
0.239	-80077.073				
0.239	-60266.955				
0.24	-78356.513				
0.24	-1531.141				
0.24	80250.707				
0.241	60109.106				
0.241	79177.33				
0.242	5445.809				
0.242	-79477.244				
0.242	-60882.568				
0.243	-77772.469				
0.243	-21057.129				
0.244	77046.361				
0.244	61877.02				
0.244	77583.05				
0.245	24892.873				
0.245	-75357.371				
0.246	-63471.301				
0.246	-74883.823				
0.246	-39004.622				
0.247	69737.928				
0.247	65633.84				
0.248	73778.876				
0.248	42698.301				
0.248	-67417.539				
0.249	-67385.969				
0.249	-70811.305				
0.25	-54158.178				
0.25	58372.761				
0.25	70353.541				
0.251	69153.884				
0.251	57583.513				
0.252	-55484.114				
0.252	-72042.531				
0.252	-66359.947				
0.253	-65965.324				
0.253	43266.559				
0.254	75231.092				
0.254	64544.678				
0.254	68822.4				
0.255	-40077.999				
0.255	-76462.318				
0.256	-62682.053				
0.256	-73842.016				
0.256	25540.056				
0.257	79051.051				
0.257	61324.547				
0.258	75862.49				
0.258	-21956.871				
0.258	-79461.459				
0.259	-60582.654				
0.259	-77709.33				
0.26	6108.777				
0.26	80534.836				
0.26	59967.041				
0.261	78987.911				
0.261	-915.527				
0.262	-80029.718				
0.262	-60519.514				
0.262	-78246.018				
0.263	-15311.406				
0.263	78372.298				
0.264	61150.913				
0.264	78340.728				
0.264	19115.58				
0.265	-77062.146				
0.265	-62476.849				
0.266	-75925.63				
0.266	-33874.512				
0.266	72310.875				
0.267	64197.409				
0.267	75136.382				
0.268	37441.911				
0.268	-70353.541				
0.268	-66012.678				
0.269	-72042.531				
0.269	-49943.595				
0.27	62240.074				
0.27	68790.83				
0.27	70527.175				
0.271	53416.285				
0.271	-59603.987				
0.272	-70606.1				
0.272	-67654.314				
0.272	-62824.118				
0.273	48159.895				
0.273	73826.231				
0.274	65870.614				
0.274	65839.044				
0.274	-45097.614				
0.275	-75215.307				
0.275	-63723.86				
0.276	-71837.327				
0.276	31049.005				
0.276	78119.738				
0.277	62129.58				
0.277	74220.855				
0.278	-27671.025				
0.278	-78782.706				
0.278	-61135.128				
0.279	-77014.792				
0.279	12122.845				
0.28	80329.632				
0.28	60235.385				
0.28	78435.437				
0.281	-8381.811				
0.281	-80171.782				
0.282	-60251.17				
0.282	-78498.577				
0.282	-7734.628				
0.283	79666.664				
0.283	60456.375				
0.284	78987.911				
0.284	11554.586				
0.284	-78624.857				
0.285	-61466.612				
0.285	-77125.286				
0.286	-26834.422				
0.286	75215.307				
0.286	62824.118				
0.287	76651.738				
0.287	30607.026				
0.288	-73415.822				
0.288	-64528.893				
0.288	-73668.381				
0.289	-44040.022				
0.289	66644.077				
0.29	66928.206				
0.29	72452.94				
0.29	47607.422				
0.291	-64150.054				
0.291	-68759.261				
0.292	-69311.734				
0.292	-58262.266				
0.292	54016.113				
0.293	71995.176				
0.293	67733.238				
0.294	61356.117				
0.294	-51206.391				
0.294	-73463.177				
0.295	-65128.721				
0.295	-68775.045				
0.296	38041.74				
0.296	76635.953				
0.296	63423.946				
0.297	71395.348				
0.297	-34758.469				
0.298	-77519.91				
0.298	-61845.451				
0.298	-75420.511				
0.299	19525.988				
0.299	79777.159				
0.3	60708.934				
0.3	77267.351				
0.3	-15990.159				
0.301	-79966.578				
0.301	-60314.31				
0.302	-78293.373				
0.302	-94.71				
0.302	80329.632				
0.303	60109.106				
0.303	79161.545				
0.304	3835.744				
0.304	-79635.094				
0.304	-60724.719				
0.305	-77930.319				
0.305	-19620.698				
0.306	77425.2				
0.306	61703.386				
0.306	77804.039				
0.307	23377.517				
0.307	-75909.845				
0.308	-63171.387				
0.308	-75136.382				
0.308	-37678.686				
0.309	70464.036				
0.309	65286.571				
0.31	74205.07				
0.31	41435.505				
0.31	-68159.432				
0.311	-66959.776				
0.311	-71079.649				
0.312	-53195.296				
0.312	59351.428				
0.312	69943.132				
0.313	69485.368				
0.313	56604.846				
0.314	-56541.706				
0.314	-71632.122				
0.314	-66707.216				
0.315	-65176.076				
0.315	44624.066				
0.316	74883.823				
0.316	64986.656				
0.316	68112.077				
0.317	-41277.655				
0.317	-76115.049				
0.318	-62950.397				
0.318	-73368.467				
0.318	26881.777				
0.319	78798.491				
0.319	61529.751				
0.32	75483.651				
0.32	-23440.657				
0.32	-79287.825				
0.321	-60740.504				
0.321	-77551.48				
0.322	7434.713				
0.322	80550.621				
0.322	60109.106				
0.323	78830.061				
0.323	-3756.819				
0.324	-80124.428				
0.324	-60424.805				
0.324	-78372.298				
0.325	-12406.974				
0.325	78987.911				
0.326	60803.644				
0.326	78577.502				
0.326	16148.008				
0.327	-77788.254				
0.327	-62019.085				
0.328	-76414.963				
0.328	-31064.79				
0.328	73621.026				
0.329	63692.29				
0.329	75815.135				
0.33	34853.179				
0.33	-71632.122				
0.33	-65397.065				
0.331	-72737.069				
0.331	-47607.422				
0.332	64071.129				
0.332	68096.292				
0.332	71411.133				
0.333	51127.467				
